standard_item_id,canonical_name,observation_date,year_month,merchant_cnpj,uom_com,qty_com,unit_price_com,comparable_price,is_comparable
0ab666e3c6b7ef72,DESODORANTE AER AXE BLACK 150ML/96G,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,11.99,79.93333333333334,True
2eb01dc742abc39e,AROMATIZANTE COALA ALGAS MARINHAS 120ML,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,13.9,115.83333333333334,True
94e156d2efc96a91,ODORIZADOR GEL ADESIVO PATO C FLRS 6 DSC,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,19.9,19.9,True
860b7f9487132e6f,ODORIZADOR GEL ADESIVO PATO C FRAM 6DSC,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,19.9,19.9,True
cfceb81dd9108abb,DESOD AER ABOVE INVISIBLE WOMEN 150ML,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,6.99,46.6,True
498c4059d1fbfd20,INSETICIDA AERO SBP CITRONELA 300+150ML,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,12.9,86.0,True
4a0e290b80eec633,JERIMUM LEITE KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.602,3.488372,3.488372,True
35f043c89b1f847e,COCO SECO UND,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,2.0,3.99,3.99,True
4a0e290b80eec633,JERIMUM LEITE KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.619,3.489499,3.489499,True
cdb44d3e3cf7dc02,PAPEL HIG SUPREMO NEVE 20M LV 12 P11,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,23.9,23.9,True
54a5dd01dfa466f1,BETERRABA KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,1.36,7.992647,7.992647,True
15cc93d448c3af58,BATATA DOCE ROXA KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,1.105,2.986425,2.986425,True
4a0e290b80eec633,JERIMUM LEITE KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.564,3.492908,3.492908,True
4a0e290b80eec633,JERIMUM LEITE KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.756,3.492063,3.492063,True
465c83e4db5b4ff0,REQUEIJAO CREM POLENGHI 200G TRADNAL,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,6.99,34.95,True
e2d61ed28e23fdf3,QUEIJO BRIE QUATA KG FORMA,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.142,99.929577,99.929577,True
e47d87a878bd514f,QUEIJO AZUL QUATA KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.158,69.873418,69.873418,True
7e9ab0fab542cabd,QUEIJO QUATA GOUDA KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.096,89.895833,89.895833,True
248bb8d3de4bed5b,REQUEIJAO CREM POLENGHI 200G CHEDDAR,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,6.99,34.95,True
fb225306d93784cd,QUEIJO MUSSARELA KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.508,34.980315,34.980315,True
ed5b52c178ca777f,QUEIJO COALHO SANTO EXPEDITO PECA KG,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,KG0001,0.746,31.983914,31.983914,True
ff1b9b886aef7ba0,MANTEIGA DAVACA 200G C/SAL,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,9.99,49.95,True
c6e9f2d51d801d45,GELEIA CASA MADEIRA AMORA TRAD 240G,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,15.99,66.625,True
142f03e30c7a35e0,IOGURTE DANONE NATURAL DESNATADO 160G,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,3.19,19.9375,True
d466d6fe3aa359e6,VINHO CHI LOMA NEGRA 750ML SAUV BLANC,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,29.99,39.986666666666665,True
4eca002c946d0208,VINHO CHI LOMA NEGRA 750ML VIOGNER,2022-04-26 19:17:00,2022-04,08.414.996/0002-74,UN0001,1.0,29.99,39.986666666666665,True
